,Co,Ni,W,Al,Cr,Fe,Ti,Cu,structure,volume,bandgap,natoms,ntypes,energy,crystal_structure,crystal_system
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pm-3m,21.8017,0.0,2,2,0.148537755,P,cubic
1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,21.3889,0.0,2,2,0.0010416400000004,R,trigonal
2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,21.5222,0.0,2,2,0.0358581899999999,P,tetragonal
3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Fm-3m,24.9864,0.0,2,2,0.76573515,F,cubic
4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pmma,42.5641,0.0,4,2,-0.0095523574999996,P,orthorhombic
5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,F-43m,31.772,0.0,2,2,1.21183649,F,cubic
6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63mc,59.5325,0.0,4,2,1.00238003,P,hexagonal
7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P-6m2,21.4932,0.0,2,2,-0.0084884150000004,P,hexagonal
8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,21.3423,0.0,2,2,-0.0025626450000002,P,tetragonal
9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,135.916,0.0,12,2,0.1857294858333335,C,orthorhombic
10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,134.641,0.0,12,2,0.1891109333333342,P,hexagonal
11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,134.596,0.0,12,2,0.2097619566666667,C,orthorhombic
12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,135.425,0.0,12,2,0.1858013258333339,P,hexagonal
13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,270.93,0.0,24,2,0.2082049762500008,P,hexagonal
14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,273.285,0.0,24,2,0.2019816370833342,P,hexagonal
15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,P4/mmm,21.2999,0.0,2,2,-0.0014110900000003,P,tetragonal
16,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,R-3m,145.738,0.0,13,2,0.1594750015384621,R,trigonal
17,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.286,0.0,30,2,0.0922734903333321,P,tetragonal
18,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,I4/mcm,68.5618,0.0,6,2,0.243133204999999,I,tetragonal
19,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Fd-3m,66.7594,0.0,6,2,0.222273146666667,F,cubic
20,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,135.273,0.0,12,2,0.2032812683333335,P,hexagonal
21,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,135.599,0.0,12,2,0.2005343174999995,C,orthorhombic
22,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cmcm,135.241,0.0,12,2,0.1887676941666664,C,orthorhombic
23,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,270.809,0.0,24,2,0.2093470845833328,P,hexagonal
24,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,272.263,0.0,24,2,0.2108955937500004,P,hexagonal
25,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P63/mmc,271.803,0.0,24,2,0.2051280233333337,P,hexagonal
26,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.658,0.0,30,2,0.0823845156666664,P,tetragonal
27,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.301,0.0,30,2,0.0779636980000001,P,tetragonal
28,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,P42/mnm,328.663,0.0,30,2,0.0837080570000002,P,tetragonal
