,r2,model,target,dataset
0,0.830713519735798,gb-B,B,etal
1,0.8307006979699538,gb-B,B,etal
2,0.8305306149019605,gb-B,B,etal
3,0.8304750011461925,gb-B,B,etal
4,0.8305786836310531,gb-B,B,etal
5,0.8307767244686325,gb-B,B,etal
6,0.8305278101062463,gb-B,B,etal
7,0.830622746108512,gb-B,B,etal
8,0.830692493549645,gb-B,B,etal
9,0.8304829956807763,gb-B,B,etal
10,0.830325111685765,gb-B,B,etal
11,0.8305938174362054,gb-B,B,etal
12,0.83081142935819,gb-B,B,etal
13,0.8305399473079997,gb-B,B,etal
14,0.830387340753004,gb-B,B,etal
15,0.8303749470765582,gb-B,B,etal
16,0.8306760261296569,gb-B,B,etal
17,0.8306278289182183,gb-B,B,etal
18,0.8306936315980575,gb-B,B,etal
19,0.8305848149346291,gb-B,B,etal
20,0.8302986855489913,gb-B,B,etal
21,0.8305483141765158,gb-B,B,etal
22,0.8305511504847186,gb-B,B,etal
23,0.8306991136159365,gb-B,B,etal
24,0.8304325819131837,gb-B,B,etal
25,0.8308177297748924,gb-B,B,etal
26,0.8307711766040573,gb-B,B,etal
27,0.8307039431759047,gb-B,B,etal
28,0.8304196357442037,gb-B,B,etal
29,0.8305398637110937,gb-B,B,etal
30,0.746238244640318,gb-G,G,etal
31,0.7459677124953996,gb-G,G,etal
32,0.7448391748489522,gb-G,G,etal
33,0.7445964382936744,gb-G,G,etal
34,0.7467804670977397,gb-G,G,etal
35,0.7456649146488054,gb-G,G,etal
36,0.7456499164653736,gb-G,G,etal
37,0.7467464791730554,gb-G,G,etal
38,0.7458884986964609,gb-G,G,etal
39,0.7458673778928067,gb-G,G,etal
40,0.7451206283668974,gb-G,G,etal
41,0.7453966058686321,gb-G,G,etal
42,0.7456520565994956,gb-G,G,etal
43,0.7459305655883885,gb-G,G,etal
44,0.7457177049651502,gb-G,G,etal
45,0.7448684773967611,gb-G,G,etal
46,0.7453505415615429,gb-G,G,etal
47,0.7460061945326149,gb-G,G,etal
48,0.7453380167438459,gb-G,G,etal
49,0.7456319108502144,gb-G,G,etal
50,0.7456524092568573,gb-G,G,etal
51,0.7448002242243617,gb-G,G,etal
52,0.7459925784685699,gb-G,G,etal
53,0.7448182100759193,gb-G,G,etal
54,0.7462802042618903,gb-G,G,etal
55,0.7460649604780186,gb-G,G,etal
56,0.7456020095673463,gb-G,G,etal
57,0.7446036021886299,gb-G,G,etal
58,0.7452841298920397,gb-G,G,etal
59,0.7460181486832757,gb-G,G,etal
60,0.827167203999886,rf-B,B,etal
61,0.8299848366125552,rf-B,B,etal
62,0.8293184189988807,rf-B,B,etal
63,0.8288115982920028,rf-B,B,etal
64,0.8294096917726296,rf-B,B,etal
65,0.8270761519486278,rf-B,B,etal
66,0.8305192396616421,rf-B,B,etal
67,0.8300250932355249,rf-B,B,etal
68,0.828201846066114,rf-B,B,etal
69,0.8296112186525022,rf-B,B,etal
70,0.830427059783901,rf-B,B,etal
71,0.8291786789905057,rf-B,B,etal
72,0.8288854859881627,rf-B,B,etal
73,0.8322032974904252,rf-B,B,etal
74,0.8299990516057013,rf-B,B,etal
75,0.8289221683322364,rf-B,B,etal
76,0.8292816170670526,rf-B,B,etal
77,0.8280224159707763,rf-B,B,etal
78,0.8307533190630698,rf-B,B,etal
79,0.8286306332797817,rf-B,B,etal
80,0.830686031349726,rf-B,B,etal
81,0.8317741676936055,rf-B,B,etal
82,0.8300769673600179,rf-B,B,etal
83,0.828282534308098,rf-B,B,etal
84,0.8282202214592531,rf-B,B,etal
85,0.8301549448063341,rf-B,B,etal
86,0.8314864004575143,rf-B,B,etal
87,0.8295286879783821,rf-B,B,etal
88,0.8303845515737123,rf-B,B,etal
89,0.8308704385105806,rf-B,B,etal
90,0.7588380357438839,rf-G,G,etal
91,0.7590699175231814,rf-G,G,etal
92,0.7577809277472403,rf-G,G,etal
93,0.7640358698161427,rf-G,G,etal
94,0.756761864787461,rf-G,G,etal
95,0.7628237521813337,rf-G,G,etal
96,0.756835983517839,rf-G,G,etal
97,0.7593954073376326,rf-G,G,etal
98,0.7569873513044267,rf-G,G,etal
99,0.7606423996295023,rf-G,G,etal
100,0.7613986620912645,rf-G,G,etal
101,0.7616203764228289,rf-G,G,etal
102,0.7632308242026382,rf-G,G,etal
103,0.7582258740547335,rf-G,G,etal
104,0.7622182681079765,rf-G,G,etal
105,0.7574287253521198,rf-G,G,etal
106,0.7574594419394557,rf-G,G,etal
107,0.7570522274367323,rf-G,G,etal
108,0.7613780902874919,rf-G,G,etal
109,0.7581166907418966,rf-G,G,etal
110,0.760045162413396,rf-G,G,etal
111,0.7608538302426409,rf-G,G,etal
112,0.7561920145635531,rf-G,G,etal
113,0.7603949195132633,rf-G,G,etal
114,0.7591221492619159,rf-G,G,etal
115,0.7557258123200276,rf-G,G,etal
116,0.7651323535462595,rf-G,G,etal
117,0.7582354454681817,rf-G,G,etal
118,0.7625819794536045,rf-G,G,etal
119,0.7627924054026,rf-G,G,etal
120,0.8302733471348521,gb-B,B,rand
121,0.8301493537169181,gb-B,B,rand
122,0.8299450932450372,gb-B,B,rand
123,0.8300341898088268,gb-B,B,rand
124,0.8301413744246819,gb-B,B,rand
125,0.8298846329886953,gb-B,B,rand
126,0.8298401540582185,gb-B,B,rand
127,0.8298707236955498,gb-B,B,rand
128,0.8297591167837607,gb-B,B,rand
129,0.8302122012707318,gb-B,B,rand
130,0.8297496054929285,gb-B,B,rand
131,0.8302696233972306,gb-B,B,rand
132,0.8299592511203473,gb-B,B,rand
133,0.8299772827639841,gb-B,B,rand
134,0.8301310958467439,gb-B,B,rand
135,0.8299811774627461,gb-B,B,rand
136,0.8304158522274,gb-B,B,rand
137,0.829924639166753,gb-B,B,rand
138,0.8301151306300829,gb-B,B,rand
139,0.829946360384547,gb-B,B,rand
140,0.8301596772208093,gb-B,B,rand
141,0.8299499367672335,gb-B,B,rand
142,0.8302010350108744,gb-B,B,rand
143,0.8302271734094135,gb-B,B,rand
144,0.830089230594122,gb-B,B,rand
145,0.8299675609492837,gb-B,B,rand
146,0.829978122437719,gb-B,B,rand
147,0.8302636413901936,gb-B,B,rand
148,0.8302381805526142,gb-B,B,rand
149,0.8303133895061583,gb-B,B,rand
150,0.7319683019803604,gb-G,G,rand
151,0.7319562263579336,gb-G,G,rand
152,0.7316519864166082,gb-G,G,rand
153,0.7319813239961909,gb-G,G,rand
154,0.7309020882933992,gb-G,G,rand
155,0.7307958768272875,gb-G,G,rand
156,0.7317102924422674,gb-G,G,rand
157,0.7317310309731357,gb-G,G,rand
158,0.7315899691055758,gb-G,G,rand
159,0.7308546107835122,gb-G,G,rand
160,0.7306300142547485,gb-G,G,rand
161,0.7309094382022989,gb-G,G,rand
162,0.7308177010671741,gb-G,G,rand
163,0.7303095199070562,gb-G,G,rand
164,0.7319613506712364,gb-G,G,rand
165,0.732026596881514,gb-G,G,rand
166,0.730393644288258,gb-G,G,rand
167,0.7309099004402388,gb-G,G,rand
168,0.7318663696604546,gb-G,G,rand
169,0.7318804148975627,gb-G,G,rand
170,0.7314594773161037,gb-G,G,rand
171,0.7302307243157358,gb-G,G,rand
172,0.7300892132541696,gb-G,G,rand
173,0.7302344575228753,gb-G,G,rand
174,0.7307286292961471,gb-G,G,rand
175,0.7316219655324763,gb-G,G,rand
176,0.7319855373987871,gb-G,G,rand
177,0.7320475004455047,gb-G,G,rand
178,0.7316840873418906,gb-G,G,rand
179,0.7314387152319484,gb-G,G,rand
180,0.8250230828003174,rf-B,B,rand
181,0.826076034685517,rf-B,B,rand
182,0.8264944288726241,rf-B,B,rand
183,0.8252916057185291,rf-B,B,rand
184,0.8247156029024234,rf-B,B,rand
185,0.8268746263035643,rf-B,B,rand
186,0.824322870212471,rf-B,B,rand
187,0.8258810943399878,rf-B,B,rand
188,0.8270666954725601,rf-B,B,rand
189,0.8256601138843829,rf-B,B,rand
190,0.8236182250978605,rf-B,B,rand
191,0.8269396641976072,rf-B,B,rand
192,0.8267351244962602,rf-B,B,rand
193,0.8251389127829458,rf-B,B,rand
194,0.8283537795450167,rf-B,B,rand
195,0.8269501142680804,rf-B,B,rand
196,0.8242904733466857,rf-B,B,rand
197,0.8264063824455673,rf-B,B,rand
198,0.8257504500298927,rf-B,B,rand
199,0.8243189470046705,rf-B,B,rand
200,0.8270615535927627,rf-B,B,rand
201,0.8251277465142393,rf-B,B,rand
202,0.8269874879760482,rf-B,B,rand
203,0.8273715309510176,rf-B,B,rand
204,0.8247693001370414,rf-B,B,rand
205,0.8268315755772657,rf-B,B,rand
206,0.8264031439203623,rf-B,B,rand
207,0.8235688810805823,rf-B,B,rand
208,0.8270468612407621,rf-B,B,rand
209,0.8242127325330284,rf-B,B,rand
210,0.7375831995482276,rf-G,G,rand
211,0.7428260215639177,rf-G,G,rand
212,0.7390037406390203,rf-G,G,rand
213,0.7444076762229188,rf-G,G,rand
214,0.7426630449609835,rf-G,G,rand
215,0.7445514102177365,rf-G,G,rand
216,0.7391164866220525,rf-G,G,rand
217,0.7392046867694528,rf-G,G,rand
218,0.7414678153262202,rf-G,G,rand
219,0.741823402803802,rf-G,G,rand
220,0.7376623330563465,rf-G,G,rand
221,0.7387922394864188,rf-G,G,rand
222,0.7408149101642154,rf-G,G,rand
223,0.7433810022597961,rf-G,G,rand
224,0.7422476881585283,rf-G,G,rand
225,0.7452858954676116,rf-G,G,rand
226,0.7406788822279198,rf-G,G,rand
227,0.741193204298791,rf-G,G,rand
228,0.7385411800172997,rf-G,G,rand
229,0.7401849937489425,rf-G,G,rand
230,0.7374132839551979,rf-G,G,rand
231,0.7390191859337387,rf-G,G,rand
232,0.745706023874432,rf-G,G,rand
233,0.743043821531628,rf-G,G,rand
234,0.7452275047651171,rf-G,G,rand
235,0.7450127123753232,rf-G,G,rand
236,0.745098798198182,rf-G,G,rand
237,0.7443267992987637,rf-G,G,rand
238,0.7488364256495159,rf-G,G,rand
239,0.7466882150496827,rf-G,G,rand
